Date,JSE.ABSP.Close,JSE.BVT.Close,JSE.FSR.Close,JSE.NBKP.Close,JSE.RMH.Close,JSE.SBK.Close,JSE.SLM.Close
2007/07/16,89445,14553,2360,1075,3495,10700,2285
2007/07/17,91350,14573,2331,1080,3499,10520,2289
2007/07/18,90500,14486,2351,1078,3484,10540,2287
2007/07/19,89400,14554,2360,1075,3450,10565,2315
2007/07/20,89600,14500,2359,1066,3445,10623,2340
2007/07/23,90000,14752,2431,1070,3511,11099,2373
2007/07/24,89600,14802,2460,1070,3581,10955,2355
2007/07/25,89100,14653,2409,1060,3512,10520,2328
2007/07/26,89106,14530,2330,1060,3460,10401,2298
2007/07/27,88700,14010,2280,1070,3384,9850,2280
2007/07/30,88700,14257,2310,1065,3399,10200,2284
2007/07/31,88700,14425,2318,1065,3400,10210,2291
2007/08/01,88600,13990,2300,1065,3350,10100,2236
2007/08/02,88500,14059,2330,1065,3399,10060,2248
2007/08/03,88599,13663,2260,1080,3271,9820,2275
2007/08/06,88400,13021,2234,1071,3290,9700,2190
2007/08/07,88400,13168,2299,1065,3311,10120,2198
2007/08/08,88405,13710,2370,1061,3440,10720,2240
2007/08/10,88353,13370,2250,1059,3356,10000,2225
2007/08/13,88390,13420,2340,1059,3382,10400,2226
2007/08/14,87000,13208,2240,1075,3255,9985,2192
2007/08/15,86328,13364,2240,1075,3310,9899,2126
2007/08/16,86700,12970,2155,1045,3262,9480,2110
2007/08/17,87800,13069,2175,1042,3115,9205,2101
2007/08/20,88000,13217,2190,1050,3200,9599,2060
2007/08/21,88350,13168,2135,1075,3180,9610,2080
2007/08/22,88255,13320,2189,1070,3230,9950,2115
2007/08/23,88300,13757,2235,1075,3275,10100,2090
2007/08/24,88385,13713,2240,1075,3288,10150,2065
2007/08/27,84200,13861,2289,1045,3345,10350,2075
2007/08/28,84200,13564,2210,1015,3295,10005,2090
2007/08/29,84200,13366,2260,1015,3350,10090,2116
2007/08/30,84100,13616,2316,1005,3392,10050,2100
2007/08/31,84000,13772,2335,1000,3455,10449,2156
2007/09/03,84095,13960,2340,1000,3510,10580,2230
2007/09/04,84275,14059,2355,1026,3470,10790,2250
2007/09/05,84260,13810,2270,1000,3413,10400,2180
2007/09/06,84275,13723,2300,1020,3400,10250,2152
2007/09/07,84275,13318,2230,1020,3292,9985,2160
2007/09/10,84270,13417,2280,1020,3379,10045,2178
2007/09/11,84275,13586,2308,1000,3465,10263,2261
2007/09/12,84050,13777,2285,1019,3344,10040,2220
2007/09/13,84050,13861,2285,1018,3381,10070,2200
2007/09/14,84150,13762,2301,1010,3357,9905,2189
2007/09/17,84150,13470,2320,1005,3335,9875,2178
2007/09/18,84202,13168,2249,1000,3270,9860,2214
2007/09/19,84200,13465,2280,1000,3331,10000,2274
2007/09/20,84275,13219,2292,995,3345,9965,2262
2007/09/21,84200,13168,2251,990,3270,9850,2240
2007/09/25,84215,13307,2180,970,3200,9795,2247
2007/09/26,84215,13312,2200,995,3280,9940,2260
2007/09/27,84250,13519.8,2236,995,3351,10051,2252
2007/09/28,84100,13414,2210,1010,3337,9946,2227
2007/10/01,83999,13366,2190,1000,3303,9905,2225
2007/10/02,84000,13533,2290,1009,3411,10500,2279
2007/10/03,83900,13337,2400,1005,3580,11000,2360
2007/10/04,83595,13366,2400,1000,3615,11010,2386
2007/10/05,83600,13382,2439,1000,3615,11075,2341
2007/10/08,83600,13564,2438,1007,3600,11080,2385
2007/10/09,83918,13317,2390,1005,3601,10880,2364
2007/10/10,84201,13119,2428,1005,3610,10775,2360
2007/10/11,84251,13033,2485,1004,3700,10845,2390
2007/10/12,84000,13218,2420,1000,3622,10791,2377
2007/10/15,84100,13287,2370,1003,3486,10575,2340
2007/10/16,84200,13416,2374,1005,3495,10490,2340
2007/10/17,84210,13365,2395,1005,3579,10790,2360
2007/10/18,84301,13366,2395,1000,3531,10600,2325
2007/10/19,84300,13346,2367,1005,3503,10600,2323
2007/10/22,84311,13454,2335,1000,3480,10549,2285
2007/10/23,84400,13465,2399,1000,3471,10945,2271
2007/10/24,84200,13319,2430,1000,3541,11099,2295
2007/10/25,84050,13366,2540,1000,3670,11540,2355
2007/10/26,84000,13268,2580,998,3800,11530,2325
2007/10/29,84190,13460,2600,1001,3840,11490,2368
2007/10/30,84150,13416,2595,1010,3840,11660,2345
2007/10/31,84150,13505,2570,1005,3800,11730,2370
2007/11/01,84210,13267,2510,1005,3750,11749,2335
2007/11/02,84500,13208,2525,1005,3700,11425,2340
2007/11/05,84500,13510,2521,1005,3700,11520,2300
2007/11/06,84600,13495,2559,1011,3810,11375,2350
2007/11/07,85000,13436,2521,1020,3705,11090,2340
2007/11/08,85000,13366,2561,1019,3750,11155,2351
2007/11/09,84950,13342,2578,1020,3765,11195,2330
2007/11/12,84700,13340,2580,1006,3745,11359,2312
2007/11/13,85000,13268,2575,1016,3760,11350,2304
2007/11/14,85500,13465,2570,1020,3800,11352,2344
2007/11/15,85400,13468,2570,1019,3726,11200,2300
2007/11/16,85000,13470,2515,1000,3700,11100,2283
2007/11/19,85001,12871,2338,1000,3618,10805,2270
2007/11/20,85500,12886,2399,1015,3600,10900,2300
2007/11/21,85500,12673,2389,1024,3520,10900,2261
2007/11/22,85100,12703,2366,1020,3619,10850,2250
2007/11/23,84700,12600,2335,1020,3550,10900,2250
2007/11/26,84750,12673,2263,997,3400,10632,2250
